"country","clustering_coefficient"
"AT",0.914509803921569
"BE",0.914509803921569
"DK",0.914509803921569
"FR",0.914509803921569
"DE",0.914509803921569
"IT",0.922619047619048
"LU",0.965811965811966
"NL",0.914509803921569
"CH",0.914509803921569
"GB",0.914509803921569
"SE",0.914509803921569
"MC",0.957026713124274
"NO",0.914509803921569
"FI",0.914509803921569
"ES",0.914509803921569
"YU",1
"PT",0.914509803921569
"IE",0.914509803921569
"MT",0.937959183673469
"IL",0.937959183673469
"GR",0.914509803921569
"TR",0.917551020408163
"MA",1
"CY",0.937959183673469
"IS",0.937959183673469
"BA",0.958333333333333
"HR",0.958333333333333
"SI",0.958333333333333
"EE",0.977836879432624
"HU",0.977836879432624
"LT",0.977836879432624
"PL",0.977836879432624
"RO",0.977836879432624
"RU",0.977836879432624
"SK",1
"MK",0.977836879432624
"LV",0.977836879432624
"UA",0.977836879432624
"AL",0.977836879432624
"AD",0.987878787878788
"BY",0.977836879432624
"CS",1
"BG",0.977836879432624
"MD",0.977836879432624
"AM",0.977836879432624
"CZ",0.996969696969697
"GE",0.992270531400966
"ME",0.996969696969697
"RS",0.992270531400966
"AZ",0.992270531400966
"SM",0.996969696969697
"AU",1
